编号,专业名称,是什么,学什么,干什么
109,广告学,广告学主要研究广告活动的历史、理论、策略、制作与经营管理等方面的基本理论和知识，涉及广告学、传播学、艺术学、市场学等学科，接受现代广告策划、设计、制作的基本技能训练，进行广告的创意策划、设计制作和营销管理等。例如：网站广告banner的设计，广告宣传片的策划、拍摄与制作，广告在微信、微博等社交平台的投放等。 关键词：banner 广告片 宣传照 海报,《传播学概论》、《中国文化概论》、《中外广告史》、《广告学》、《广告策划》、《平面广告设计》、《广告摄像与摄影》、《广告经营与管理学》、《新闻事业管理》、《广告法规与管理》 部分高校按以下专业方向培养：媒介经营、网络传播、形象设计、新媒体传播、平面广告设计、体育营销传播、广告策划与设计。,广告类企业：广告策划、广告创意、广告设计、广告制作、广告投放。
110,传播学,传播学主要研究现代媒体传播的基础理论和知识，掌握现代电子媒体，特别是电视媒体与网络多媒体传播的基本技能，进行影视传播、新闻传播、网络传播、广告营销等。例如：信息或广告在互联网、社交平台的投放与传播，网络舆论风向的控制，纪录片、科教片的创作等。 关键词：互联网 手机 移动电视 微博,《中外新闻传播史》、《传播学概论》、《新闻学概论》、《舆论学》、《文艺美学》、《基础摄影》、《影视脚本创作》、《新闻采访与写作》、《多媒体应用技术》、《网络传播与文化》 部分高校按以下专业方向培养：新闻、网络传播、新媒体传播、媒体市场调查与分析、网络媒体经营与管理。,新闻、媒体类企事业单位：新媒体传播、新闻传播、新闻采编、纪录片制作； 广告类企业：广告企划、广告营销。
111,编辑出版学,编辑出版学主要研究编辑学、出版学、汉语言文学、传播学等方面的基本知识和技能，在出版社、杂志社、报社等进行编辑、编务、出版和发行等。例如：文稿的撰写与编辑，书稿文字和标点符号的校对，书刊、杂志的封面、扉页、装订形式的设计，稿费的登记与发放等。 关键词：出版社 图书 报纸 杂志,《编辑学概论》、《古代汉语》、《现代汉语》、《出版发行学基础》、《中国编辑出版史》、《图书学》、《出版美学》、《书业法律基础》、《报刊编辑学》、《出版现代技术》 部分高校按以下专业方向培养：新媒体、网络编辑。,报刊、出版类企事业单位：文字编辑、稿件校对、出版排版、稿件管理、装帧设计。
112,历史学,历史学主要研习马克思主义基本原理、历史学、古文字学、历史地理学等方面的基本理论和知识，涉及中外通史和断代史、中西史学史、中外历史文献选读等，对先人遗留下来的古籍、文献、历法、制度进行研究分析，从而为当今的社会生活所借鉴。该专业侧重于理论研究，对口的职业相对需求较少，选择需谨慎。 关键词：史记 资治通鉴 战国策 汉书,《中国通史》、《世界通史》、《史学理论》、《中国史学史》、《西方史学史》、《中外关系史》、《文化人类学》、《历史地理学》、《文献学》、《中国断代史》 部分高校按以下专业方向培养：国学、文化遗产、历史文化产业、满族语言文化、满族历史与文化、文物鉴定与修复。,中小学校：历史教学； 文化类企事业单位：科学研究。
113,世界史,世界史主要研究马克思主义基本原理、历史学等方面的基本理论和知识，包括世界通史、世界军事史、近现代国际关系史等，了解世界的历史发展和西方国家的历史、文化、制度、经济等，在文化、文博、档案等行业进行世界历史与世界文物方面的科学研究等。该专业毕业生的择业面不是很广，选择需谨慎。 关键词：独立战争 十月革命 明治维新 世界大战,《世界古代史》、《世界近代史》、《世界现代史》、《世界文化史》、《美国史》、《加拿大史》、《西方史学史》、《西方政治制度史》、《西方经济史》、《世界历史英文文选》,中小学校：历史教学； 文化类企事业单位：科学研究。
114,考古学,考古学主要研究考古学、历史学、文物学、地理学等方面的基本理论和知识，接受田野考古、文物鉴定的基本技能训练，进行考古调查、遗址发掘、文物鉴定等。例如：对北京周口店龙骨山遗址、安阳殷墟等遗址进行发掘，对发现的头盖骨化石、甲骨文、玉器等文物进行鉴定等。 关键词：周口店 化石 甲骨文 古董,《中国考古学》、《外国考古学》、《考古学史》、《田野考古学》、《考古学技术》、《古文字学》、《石器时代考古》、《商周考古》、《汉唐考古》、《文物学》、《文物保护技术》 部分高校按以下专业方向培养：文物鉴定。,文博、拍卖类企事业单位：文物保护、古玩鉴定、古玩拍卖； 考古类企事业单位：遗址考古、殷墟发掘。
115,文物与博物馆学,文物与博物馆学主要研究博物馆学、文物学等方面的基本知识和技能，接受文化遗产保护、研究、鉴定、展示等方面的技能训练，在文博行业进行藏品保管、陈列展示、保护修复等。例如：博物馆展品陈列的设计规划，瓷器、玉器等文物展品的鉴定与管理，古画、古陶瓷等古文物的保护与修复等。 关键词：国家博物馆 故宫博物院 司马戊大方鼎 清明上河图,《博物馆学概论》、《博物馆陈列设计》、《博物馆藏品管理》、《博物馆经营管理》、《物质文化史》、《文化人类学》、《文物学概论》、《文物管理与法规》、《文物与考古技术》、《文物保护基础》,博物馆、文物馆：陈列设计、藏品管理、文物鉴定、文物保护。
116,数学与应用数学,数学与应用数学以数学应用的理论研究为主，包含算术、代数、几何等多个方面，主要运用数学知识分析解决生活中的一些问题，例如：股票涨跌背后的数据分析、预测某一事件发生的概率，并且结合计算机，使用MATLAB等软件处理一些人脑无法解决的复杂运算，例如圆周率等。 关键词：算术 几何 理论 推导,《C/C++程序设计》、《高等代数与几何》、《复变函数论》、《初等数论》、《数学分析实践》、《初等代数》、《几何分析》、《常微分方程和偏微分方程》 部分高校按以下专业方向培养：基础、财经数学、经济数学、数理金融、金融与统计、金融与保险精算、金融数学与金融工程、物流系统模型与仿真、数据科学与大数据技术。,教育类企业：数学教师、数学教研、教学产品研发； 金融类企业：精算师、证券分析、金融研究。
117,信息与计算科学,信息与计算科学是将数学与计算机相结合的专业，培养数学基础和数学思维能力的同时，能够熟练地使用计算机以最快的算法计算复杂的数学问题，例如：使用计算机编程模拟复杂函数图像、计算高阶矩阵、计算圆周率等，将数学问题通过计算机处理得以更加便捷地解决。 关键词：计算机 算法 数学 编程,《高等代数与几何》、《复变函数论》、《数学分析实践》、《JAVA面向对象的程序设计》、《C++程序语言》、《数据建模》、《高等代数与空间解析几何》、《数据结构与算法导论》、《数学分析方法》 部分高校按以下专业方向培养：大数据、云计算、数理金融、信息处理、信息数字化、移动互联网、计算数学与软件。,教育类企业：数学教师、教学产品研发、计算机教学开发； IT类企业：数据分析、算法工程、技术支持分析。
118,物理学,物理学主要研究物质运动规律和物质基本结构，是关于大自然规律的知识，探索分析大自然所发生的现象，以了解其形成原因及过程，例如：闪电、雨水的形成原因及过程，宇宙行星的运转规律、生活中电路短路断路的原因。 关键词：理论 粒子 闪电 电路,《广义相对论》、《量子场论》、《粒子物理》、《高等量子力学》、《固体物理与结构物性》、《热力学和统计物理学》、《近代光学》 部分高校按以下专业方向培养：太阳能、通用技术、应用物理、新能源材料、绿色能源技术、光伏科学与技术、光电器件及其应用、光信息科学与技术。,技术类企业：光学工程、研发工程、新能源、应用仪器的研制； 政府、科研单位：工程技术、物理科研； 教育类企业：物理教师、物理产品教研。
119,应用物理学,应用物理学主要研究物理学的基本理论与方法，还包含电子技术、计算机技术、光纤通信技术等方面的应用基础知识、基本实验方法和技术。生活中的红外探测仪、感应识别门、激光笔等光感技术仪器多是出自该专业之手。 关键词：实验 感应 电子 激光,《传感技术与应用》、《普通物理学》、《模拟电路与数字电路》、《量子物理》、《半导体物理学》、《Matlab及其在物理学中的应用》、《等离子体物理》 部分高校按以下专业方向培养：微电子、物联网、原子核、光伏工程、生物物理、医学物理学、应用电子技术。,技术类企业：光学工程、半导体、新能源、光电技术、航空航天； 政府、科研单位：工程技术、技术开发、器件发明。
120,核物理,核物理主要研究原子核的结构和变化规律以及同核能、核技术应用有关的物理问题，包含原子核、同位素、离子束、核射线等。常见的核电站、核武器、核辐射，医疗中的核磁共振都是基于核物理的知识。其中，同位素的应用是核技术应用中最广泛的领域，包括同位素示踪、同位素药剂、同位素仪表等。 关键词：核磁 核能源 射线 原子核,《普通物理学》、《原子核物理学》、《核电子学》、《核物理实验方法》、《核技术基础》、《辐射剂量与防护》,技术类企业：核器件研发、核能源开发、放射治疗、同位素应用、工程技术； 政府、事业单位：核磁、核电、核能源。
121,化学,化学主要研习化学基础理论知识和化学实验基本操作技能，包含单一物质内部与多种物质间的化学反应与变化，了解其变化的机理和过程，例如：物品燃烧、钢铁生锈、食物腐烂、粮食酿酒的过程，都是化学变化，通过研究这些变化的过程，了解其发生改变的原因和机理。 关键词：腐烂 燃烧 实验 危险,《化学反应工程》、《化学工程基础》、《无机化学》、《有机化学》、《分析化学》、《结构化学》、《物理化学》 部分高校按以下专业方向培养：科学、药物、工业分析、化学制药、分析与检测、精细化学工业。,技术类企业：化学分析、化学工程、化学技术、质量管理； 医药类企业：化学调配、临床化学、医药技术、医药研发。
122,应用化学,应用化学研习化学基础知识、基本理论和基本技能的同时，还要学习相关的工程技术知识，包含应用研究、技术开发等，例如：工厂零部件的生产工艺流程、产品的质量把控、各种有害物质的监测及处理等。 关键词：反应 生产 检验 技术,《化学反应工程》、《高分子化学》、《无机化学》、《材料分析测试技术》、《精细高分子合成与应用》、《电化学测试技术》、《有机波谱学》、《表面活性剂化学》 部分高校按以下专业方向培养：制药、功能材料、精细化工、药物合成、质量检测、分析与检测、药用化妆品、产品检测技术、化学生物应用、环境监测与评价。,工业类企业：工程设计、技术开发、化工工程、生产技术管理、科学研究； 政府、事业单位：化学检验、质量监控、环境监测。
123,天文学,天文学主要研究宇宙空间天体、宇宙的结构和发展，包含天体的位置、构造、性质和运行规律等。我们现今使用的时间、方向和历法，都是古天文学家通过观测太阳、月球和其他一些天体及天象得出的，还有众所周知的哥白尼日心说、康德和拉普拉斯关于太阳系起源的星云说等等。 关键词： 地球 太阳 银河 宇宙,《广义相对论》、《量子场论》、《普通天文学》、《天体物理》、《天文技术与方法》、《恒星物理基础》、《计算天文学入门》,政府、事业类单位：天文观测、星象研究。
124,地理科学,地理科学主要从各种角度对地质、地表形态等地理特征进行深入研究，研究人与地理的关系，主要分为以地形、地质、气候、海洋等自然环境为研究对象的自然地理学和以人口、城市、交通、文化等为研究对象的人文地理学两大类，常见的土地勘探、地图绘制、城乡规划都属于此专业。 关键词：地形 气候 环境 高原,《地理信息系统原理》、《GIS概论与应用》、《遥感与地理信息系统概论》、《土地信息系统》、《土壤环境学》、《综合自然地理学》、《普通水文学》 部分高校按以下专业方向培养：城乡规划管理、旅游资源开发、人文地理与城乡规划、遥感与地理信息系统、资源环境与城乡规划。,建筑设计类企业：城乡规划、旅游规划、工程测量、地形勘测、土地资源开发、地理信息系统软件开发。
125,自然地理与资源环境,自然地理与资源环境专业主要研究自然地理与资源环境的基本理论、知识和技能，立足于地球表层特征及其变化、自然资源管理、环境保护、3S技术，学习水资源的合理利用、土地资源的利用与评价、资源环境遥感等资源利用和环境发展相关的专业知识与方法。 关键词：水资源 土地 生态 遥感,《GIS概论》、《自然地理学》、《地质学》、《环境科学》、《资源学》、《生态环境规划》、《土地评价与土地管理》、《水资源计算与管理》,政府、事业类单位：国土资源整治、自然资源开发利用与规划管理、环境保护与治理、生态环境规划； 建筑、工程类企业：土地评价、土地规划与设计、水处理工程。
126,人文地理与城乡规划,人文地理与城乡规划专业主要研究人文地理与城乡规划的基本理论、知识和技能，立足于宏观、中观区域规划和土地管理，进行城乡规划设计、土地资源利用和规划、旅游资源规划、区域测绘制图等。 关键词：地图 旅游 规划 城乡建设,《自然地理学》、《地图学与现代测量》、《人文地理学》、《经济地理学》、《区域分析与规划》、《城市规划原理》、《土地利用规划学》 部分高校按以下专业方向培养：房地产经营、旅游规划与策划、旅游开发与管理、房地产开发与管理。,政府、事业类单位：规划设计、国土资源评价及资源信息化管理、环境评价及管理、城乡建设与管理； 建筑、工程类企业：城乡规划、区域规划、土地利用规划； 旅游类企业：旅游规划、旅游策划； 房地产类企业：房地产估价、房地产策划、工程项目管理、房地产测绘与制图。
127,地理信息科学,地理信息科学主要研究地理学基础知识、地理信息系统、数据库原理、遥感原理与技术等，运用3S（GPSGISRS）技术，将地球系统内部的物质进行信息化，例如：根据城市地貌制成手机查询的电子地图、远程遥控无人机、实时定位导航等。 关键词：数字化、无人机、遥感、电子地图,《摄影测量学》、《GIS空间分析》、《GIS设计与开发》、《遥感导论》、《自然地理学》、《计量地理学》、《遥感数字图像处理》、《卫星导航定位原理与应用》 部分高校按以下专业方向培养：数字城市建设、智慧城市建设、无人机遥感技术。,矿产、工程类企业：地质勘查、摄影测量、生产管理、技术开发； IT类企业：项目规划设计、项目实施开发、GIS设计与开发、遥感技术、无人机； 建筑类企业：数字城市建设、城镇规划建设。
128,大气科学,大气科学主要研究大气的各种现象及其演变规律、人类活动对大气的影响等，研究对象覆盖整个地球的大气圈，日常预报天气、进行气象监测、针对不利天气（如：暴雨、暴雪、沙尘暴）进行人工干预调节等，对人类生活有很大的影响。 关键词：大气污染 天气预报 雷达 沙尘暴,《天气学》、《动力气象学》、《卫星气象学》、《边界层气象学》、《应用气象学》、《大气电学》、《大气物理学》、《大气化学》、《大气科学进展》 部分高校按以下专业方向培养：大气环境、大气探测、大气物理、水文气象。,政府、事业单位：天气预报、区域环境监测、气象评估、卫星监测； 航空航天类企业：气象观测、工程技术。
129,应用气象学,应用气象学主要研究气象学的基本知识和技能，继而将气象学的原理、方法和成果应用于农业、水文、航海、航空、军事、医疗等领域，解决相关领域的气象问题，例如：气象防震抗洪减灾对策、生态环境调控、气候资源开发利用等。 关键词：地震 洪水 干旱 农业,《边界层气象学》、《大气科学基础》、《大气探测学》、《天气学原理》、《产业工程气象学》、《气象信息服务》、《应用气象学方法》、《农业气象学》 部分高校按以下专业方向培养：公共气象服务。,政府、事业类单位：气象监测、农业设施环境调控、环境保护、防汛抗旱与农业减灾、农业区划与资源利用； 高新技术类企业：生态环境建设、生态环境监测调控、信息技术应用、环境评价。
130,海洋科学,海洋科学主要研究海洋的自然现象、性质及其变化规律，以及海洋的开发利用。研究对象包括海水、溶解和悬浮于海水中的物质、生活于海洋中的生物、海底沉积和海底岩石圈，以及海面上的大气边界层和河口海岸带。例如：潮汐、厄尔尼诺现象、海洋生物等等。 关键词：海水、潮汐、航海、海马,《海洋科学导论》、《生物海洋学》、《物理海洋学》、《海洋地质学》、《海洋调查与观测技术》、《近海区域海洋学》、《流体力学》、《海洋环境生物学》、《海洋微生物学》 部分高校按以下专业方向培养：海洋生物学、物理海洋学、海洋环境科学、海洋生物制药。,水产、地质类企业：海洋事务管理、水产养殖、地质勘查、海洋新技术； 政府、事业类单位：海洋资源调查和开发利用、环境保护、海水利用、海洋预报、海洋科研； 其他海洋类企业：海洋制药、海洋采矿、海洋交通运输、海洋油气、滨海旅游。
131,海洋技术,海洋技术研究关于海洋的基本知识和规律的同时，还研究海洋高科技和海洋工程方面的基本理论和基本知识，接受海洋新技术的基本训练，例如：海洋资源调查、海洋探测、海洋信息处理技术等等。 关键词：海洋调查、海洋监测、水利工程、港口,《海洋科学导论》、《化学海洋学》、《物理海洋学》、《海洋测量学》、《海洋遥感应用技术》、《地理信息系统原理与应用》、《海洋管理信息系统》、《数字海洋工程》、《海洋要素计算及预报》,技术类企业：水产技术、环保技术、水利/港口工程技术、结构工程； 水产类企业：水产养殖、经营管理、技术开发与推广； 政府、事业类单位：海洋资源调查与开发，海洋环境监测、海洋资源管理、海洋探测、海洋信息处理技术。
132,地球物理学,地球物理学主要研习地理学、地质学相关知识，研究地球深部构造、地震预测、地球物理工程、能源及矿产资源勘察等。对于地震、火山爆发、山体滑坡等自然灾害进行预测，对于矿产、油田、煤田进行勘查探测。 关键词：地球 矿产 地震 火山,《地球物理学》、《地球物理观测》、《地质学》、《电路与模拟电子技术》、《地震勘探原理》、《重力勘探》、《连续介质力学》、《重力与固体潮》,矿业类企业：地质勘查、采矿、选矿、工程探测、工程技术； 政府、事业类单位：自然灾害预测、地质勘探。
133,空间科学与技术,空间科学与技术主要研究空间科学、空间环境和空间探测等方面的基本知识与方法，研习空间环境及探测技术、空间传感器技术等基本技能，主要应用于航空航天工程中，例如：探月工程、卫星探测等等。 关键词：航空 宇航员 卫星 宇宙,《电磁场与电磁波技术》、《空间探测技术》、《太阳大气层与日球层物理学》、《地磁学与地电学》、《空间等离子体物理基础》、《空间物理基础》、《宇航技术基础》,航空航天类企业：航空工程、空间探测、空间应用、空间资源开发、航天技术。
134,地质学,地质学主要研究地球的演化过程，研习地质调查、资源开发和管理等地质基本工作技能，主要进行地矿、石油、煤田、天然气等资源的开发利用，勘测地形、地质构造，监测地震等地质灾害。 关键词：地矿 石油 煤田 地震,《地理信息系统原理》、《工程地质学》、《地学导论》、《地理信息系统实验》、《古生物学与地史学》、《水文地质学》、《构造地质学》、《岩石学》 部分高校按以下专业方向培养：地球物理学。,矿业类企业：地质勘探、矿产开发、选矿、采矿、工程技术； 政府、事业类单位：地质调查、资源能源勘探与开发、水利水电建设、地质灾害监测与防治、国防。
135,地球化学,地球化学主要研究地球及其子系统（包括部分宇宙体）的化学组成和化学演化，包括地球（包括部分天体）的化学组成、地质过程中化学作用机制和条件、元素的共生组合及其赋存形式、元素的迁移和循环等等，涵盖矿物、岩石、矿床、地质等多个方面。 关键词：地质 化学 矿物 地球,《地球化学》、《环境地质学》、《生物地球化学》、《构造地质学》、《结晶学与矿物学》、《岩石学》、《矿床学》、《环境地球化学》、《变质岩岩石学》,矿业、工程类企业：生产、测试、工程技术、技术管理、野外勘测、地质勘探。
136,生物科学,生物科学涉及领域相当广阔，包括植物学、动物学、微生物学、神经学、生理学、组织学、解剖学等等，主要研究生物的结构、生理行为和生物起源、进化与遗传发育等，例如：人体组织结构、人类基因遗传、细菌培养、基因工程等。 关键词：细胞 基因 解剖 DNA,《生物信息学》、《细胞工程》、《基因工程》、《分子生物学》、《解剖生理学》、《现代遗传学》、《人体组织学与解剖学》、《组织培养》、《人体及动物生理学》 部分高校按以下专业方向培养：实验、海洋生物、生物教育、检验与检测、应用微生物学、生态监测与评价、动物养殖与产品加工、药用植物资源与利用。,农、林、牧、渔类企业：生物研究、生物技术、生产管理、技术开发； 医药类企业：生物工程、生物制药、生化实验； 教育类企业：生物教师、生物产品教研。
137,生物技术,生物技术主要研习现代生物学和生物技术的基本理论、基本知识和基本技能，包括分子生物学、微生物学、基因工程、发酵工程及细胞工程等方面，主要利用生物体的物质来改进产品、改良植物和动物、或为特殊用途而培养微生物。常见的克隆、基因重组技术、生物疫苗培育皆隶属于此。 关键词：克隆 疫苗 基因重组 血清,《细胞工程》、《基因工程》、《现代遗传学》、《发酵工程》、《普通微生物学》、《生化工程》、《药物合成》、《生物技术制药》、《生物信息学》、 部分高校按以下专业方向培养：食用菌、茶叶检测、功能食品、生物制药。,生化类企业：生物研究、生物修复、生物净化、生物技术； 医药类企业：生物工程、生物制药、药品销售； 检测类单位：细菌检测、生物化验。
138,生物信息学,生物信息学将生物与数学、计算机进行了有效结合，主要通过综合运用数学和信息科学等多领域的方法和工具对生物信息进行获取、加工、存储、分析和解释，来阐明大量生物数据所包含的生物学意义，研究重点主要体现在基因组学和蛋白质组学两方面。 关键词：生物 计算机 基因 蛋白质,《生物信息学》、《普通生物学》、《生物化学》、《分子生物学》、《遗传学》、《计算生物学》、《基因组学》、《生物芯片原理与技术》、《蛋白质组学》、《Perl/Python语言编程》,生化、科研类单位：生物研究、基因组学研究、蛋白质组学研究； 医药类企业：生物工程、生物技术、生物制药、药品研发、药品销售。
139,生态学,生态学主要研究生物体与其周围环境（包括非生物环境和生物环境）的相互关系，主要对工业生态、城市生态和普通生态等进行生态规划、研究、建设、改造和管理，建造绿色生态的环境，减少城市污染。 关键词：生态 环境 植物 动物,《普通生态学》、《植物生态学》、《生态系统生态学》、《农业生态学》、《生态工程与设计》、《生态管理工程》、《环境生态工程》、《水源地保护与饮水保障技术》、《湿地植物生理生态学》、《污染生态学》 部分高校按以下专业方向培养：海洋生态。,农业、环保类企业：生态农业、环境保护、生态工程的设计和建设、区域农业开发的规划、设计、实施及管理； 园林、林业类企业：园林绿地的规划与设计、园林植物繁育栽培与养护、植物管理。
140,心理学,心理学主要研究人类心理现象及其影响下的精神功能和行为活动，涉及知觉、认知、情绪、思维、人格、行为习惯、人际关系、社会关系等许多领域，也与日常生活的许多领域——家庭、教育、健康、社会等发生关联，主要通过观察人类的行为、表情来描述、解释和预测其心理活动。 关键词：行为 情绪 人格分裂 心理,《普通心理学》、《变态心理学》、《社会心理学》、《人格心理学》、《认知心理学》、《心理咨询与治疗》、《发展心理学》、《管理心理学》、《心理测量学》、《SPSS和多元统计》 部分高校按以下专业方向培养：特殊教育、人力资源开发与测评、学校心理辅导与咨询。,中小学、高校：心理教师、心理健康教育、心理辅导与咨询； 公安类单位：公务员、心理咨询师、犯罪心理学家； 各类企业：HR、猎头、企业咨询。
141,应用心理学,应用心理学主要研究心理学的基本原理在各种实际领域中的应用，包括工业、工程、组织管理、市场消费、学校教育、社会生活、医疗保健、体育运动以及军事、司法、环境等各个领域。它通过运用心理学的原则及理论来克服领域中实际的问题，例如：快速消费品购买心理分析、网站用户点击习惯分析、广告客户发展需求分析等。 关键词：心理分析 咨询 行为 情绪,《儿童发展心理学》、《解剖生理学》、《个体心理咨询》、《普通心理学》、《群体心理学》、《认知与行为治疗》、《生涯心理辅导》、《心理测量与评估》、《心理学原理》、《SPSS统计应用》 部分高校按以下专业方向培养：运动心理、人力资源管理、组织管理心理学、教师教育心理健康、人力资源与市场营销、心理健康咨询与教育。,中小学、高校：心理教师、心理健康教育、心理辅导与咨询、职业规划师； 公安类单位：公务员、心理咨询师、犯罪心理学家； 各类企业：心理分析、人才测评、职业评估、释压疏导； 医院和诊所：心理医生。
142,统计学,统计学主要通过利用大量数据进行量化分析，总结出一些经验规律，做出后期推断和预测，从而为相关决策提供依据和参考，其不仅仅是统计数字，还包含了调查、收集、分析、预测等，应用范围十分广泛。 关键词：数字 概率 抽样调查 统计局,《C/C++程序设计》、《数理统计学》、《保险会计学》、《初等数论》、《应用多元统计分析》、《统计学概论》、《金融建模》、《风险理论分析》、《复变与积分变换》、《宏观经济统计分析》 部分高校按以下专业方向培养：保险精算、金融统计、数据工程、大数据分析与应用、市场调查与数据分析。,保险类企业：保险精算、业务统计； 市场调查类企业：数据分析、市场调查； 各类企业：咨询、调研、经济分析、数据分析。
144,理论与应用力学,理论与应用力学主要研究力学的基本理论、知识和技能，解决建筑工程等领域中设计、施工、管理等方面的问题。例如：复杂建筑的结构设计、施工中的力学分析、搭建桥梁的结构分析等。 关键词：力学 桥梁 建筑 施工,《理论力学》、《材料力学》、《结构力学》、《弹性力学》、《结构动力学》、《流体力学》、《空气动力学》、《CAD与工程图学基础》、《流形上的微积分》部分高校按以下专业方向培养：航空航天类大学纯力学方向、土建大类复杂工程结构分析方向。,工程、工业类企业：工程设计、技术开发、工程管理、施工； 科研院所：理论研究、实验研究。
145,工程力学,工程力学主要研究力学和数学的基本理论和知识，研习二维、三维绘图，运用计算机和现代实验技术手段解决与力学有关的工程问题。例如：桥梁的总承重计算、室内墙体的强度和受重分析计算、建筑的结构稳定性分析等。 关键词：建筑 结构 CAD 工程,《理论力学》、《材料力学》、《结构力学》、《弹性力学》、《结构动力学》、《流体力学》、《有限元》、《张量分析》、《CAD/CAE软件应用》、《并行算法和程序设计》、《Auto CAD二、三维绘图》 部分高校按以下专业方向培养：工程结构分析。,工程、工业类企业：工程设计、技术开发、工程计算、强度分析、结构工程、施工。
146,机械工程,机械工程以有关的自然科学和技术科学为理论基础，结合生产实践中的技术经验，研究和解决在开发、设计、制造、安装、运用和修理各种机械中遇到的实际问题，例如：家用电器的维修、汽车的改装、智能机器人的研发设计、挖掘机的使用等。 关键词：电器 机器人 汽车 起重机,《C++程序设计与实践》、《控制系统工程》、《机械制造与装备》、《CAO与机械元器件》、《材料成形技术》、《工程材料与应用》、《汽车结构与设计》、《现代机械制造技术》、《力学测试及误差分析》、《电工和电子技术》 部分高校按以下专业方向培养：数控技术、港口机械工程、高分子加工机械、机械设计与制造、模具设计与制造、机械设计制造及自动化。,机械、技术类企业：机械设计、机械制造、机电产品研发、机电自控系统开发、数控设备开发、智能系统设计。
147,机械设计制造及其自动化,机械设计制造及其自动化主要研究各种工业机械装备及机电产品的设计、制造、运行控制、生产的基本知识和技能，以机械设计与制造为基础，融入计算机、自动控制等技术，实现工程机械自动运行等功能。例如：数控机床、智能机器人等均由程序操控，可自动工作。 关键词：机器人 自动 数控 维修,《C/C++程序设计》、《机械CAD/CAM》、《AUTO CAD 二维绘图与三维造型》、《电路与模拟电子技术》、《数控技术及应用》、《机械精度设计》、《机械拆装与测绘》、《自动化制造系统》、《机械精度设计基础》、《自动化机械系统设计》 部分高校按以下专业方向培养：车辆、机辆工程、汽车运用、数控技术、机电一体化、机械新技术、机械设计制造、精密制造技术、机电传动与控制、制造自动化与测控技术。,机械、技术类企业：机械设计、机械制造、控制设备的维护维修、数控机床的编程及操作、工艺工装的设计制造、机械CAD/CAM技术、现场技术管理。
148,材料成型及控制工程,材料成型及控制工程主要研究材料的热加工工艺和有关设备和模具的设计方法，通过塑性成型及热加工对材料的结构、性能进行改进和重塑，将材料改变形态制成全新的产品。例如：3D打印将液体或粉状材料重新固化成立体形状。 关键词：模具 重塑 热加工 3D打印,《材料热力学》、《自动控制原理实验》、《CAD技术基础》、《模具制造工艺学》、《动力学》、《表面工程学》、《材料加工工程》、《金属学及热处理》、《模具材料及失效分析》、《材料力学性能》 部分高校按以下专业方向培养：模具、焊接技术、模具设计制造及自动化。,机械制造类企业：生产过程控制、技术开发、机械制造、塑性加工、焊接材料、模具设计与制造、热处理、金属材料加工。
149,机械电子工程,机械电子工程涉及机械、电子、信息、计算机、人工智能等诸多领域，主要研习机械工业自动化、电力电子和计算机应用等技术，包括基础理论知识和机械设计制造方法、计算机软硬件应用能力等，从而进行各类机电产品和系统的设计、制造、试验和开发。例如：智能机器人的研发、电子词典等电子产品的功能设计、自动售票机的制造等。 关键词：人工智能 机器人 电子产品 机电一体化,《数控编程》、《机电一体化系统设计》、《金属切削机床》、《机电系统设计》、《画法几何与制图基础》、《传感与检测技术》、《微机电系统》、《PLC控制系统》、《机器人技术与应用》、《电路原理基础》 部分高校按以下专业方向培养：机器人技术、先进制造与工业机器人。,机械、电子类企业：机械制造、电子工程、机械调试、方案设计、质量控制、技术开发、机械维修、机电工程。
150,工业设计,工业设计主要研究工业中的设计方面的原理和知识，探索工业产品的造型与色彩、形式与外观、结构与功能、外形与工艺等之间的关系，以实用、美观为基础对工业产品进行设计，包括包装设计、造型设计、展示设计、UI设计等。例如：沙发的外观结构设计、吊灯的造型色彩设计等。 关键词：包装 PS 色彩 UI,《素描与色彩》、《CAD制图》、《人机工程》、《Pro/E 工业设计基础》、《机械设计原理》、《工业产品模型制作》、《产品概念设计》、《产品设计原理与方法》、《产品包装设计》、《产品结构设计》 部分高校按以下专业方向培养：服装设计。,设计类企业：产品设计、包装设计、广告设计、平面设计、展示设计、陈设设计、外观设计、三维设计、视觉设计。
151,过程装备与控制工程,过程装备与控制工程主要研究化工、石油等行业使用的风机、压缩机、反应器等过程装备的设计、制造、控制相关的基本知识和技术。例如：工业生产过程中的检测与控制系统、温感光感等智能仪器仪表、化学反应器等过程机器和过程容器都属于过程装备，该专业主要通过研究过程装备的结构和原理，对其实现控制。 关键词：控制 化学 接触塔 风机,《公差配合与技术测量》、《过程装备安全可靠性》、《过程装备控制技术及应用》、《过程设备设计》、《工程材料基础》、《过程流体机械》、《工程材枓》、《流体机械》、《ANSYS工程软件应用》、《过程装备力学基础》 部分高校按以下专业方向培养：石油化工机械。,机械类企业：机械设计、机械设备工程、机械研发、过程设备研发、技术管理； 化工类企业：化工工程、工程设计、技术开发、生产技术。
